Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,221661.56064155704,1,506.0,25.0,6,19.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,239682.82573436658,0,260.0,9.0,0,9.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,0,1,2,1,1,1,1,1,1,191025.40998378088,1,260.0,20.0,6,14.0,Punjab
"Gulberg, Lahore, Punjab",7.0,6.0,1,1,2,2,1,1,1,1,1,1,270318.97639214277,1,556.6,26.0,6,20.0,Punjab
"Nasheman-e-Iqbal, Lahore, Punjab",4.0,4.0,0,0,0,0,0,0,0,0,0,0,59470.1748062714,0,130.0,8.0,0,8.0,Punjab
"Military Accounts Housing Society, Lahore, Punjab",4.0,3.0,0,0,1,2,1,0,0,0,0,0,35321.679581906654,1,104.0,12.0,1,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,358623.1753469094,1,506.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,0,0,0,0,209046.67507659039,1,506.0,17.0,1,16.0,Punjab
"Bahria Town, Lahore, Punjab",5.0,3.0,0,1,1,2,1,0,1,0,0,1,73887.18688051902,1,130.0,16.0,3,13.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,1,1,0,0,0,1,0,108127.59055685709,1,130.0,17.0,2,15.0,Punjab
"Valencia Housing Society, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,144170.12074247614,1,260.0,21.0,6,15.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,0,0,1,2,0,0,0,0,0,0,126148.85564966661,1,260.0,15.0,0,15.0,Punjab
"DHA Defence, Lahore, Punjab",7.0,6.0,1,1,1,1,1,0,1,1,1,1,333393.404216976,1,506.0,23.0,5,18.0,Punjab
"Mian Amiruddin Park, Lahore, Punjab",3.0,3.0,1,0,0,2,0,0,0,0,0,1,54063.795278428544,1,104.0,11.0,1,10.0,Punjab
"Mian Amiruddin Park, Lahore, Punjab",6.0,6.0,1,0,0,3,0,0,0,0,0,1,63074.42782483331,1,130.0,18.0,1,17.0,Punjab
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,1,1,1,104523.33753829519,1,260.0,20.0,5,15.0,Punjab
"Eden, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,169399.89187240944,0,260.0,9.0,0,9.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,64876.554334114255,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,261308.34384573798,1,506.0,25.0,6,19.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,1,1,1,1,1,320778.51865200937,1,607.1999999999999,22.0,6,16.0,Punjab
